"IBaseEmitter [m]","VCollector []","Inegative(IC) [mA]"
0,0,0
0,0.1,1.9603115500481E-13
0,0.2,2.00041666091076E-13
0,0.3,2.00116458937306E-13
0,0.4,2.00117984477268E-13
0,0.5,2.00118015596505E-13
0,0.6,2.00118016231229E-13
0,0.7,2.00118016244154E-13
0,0.8,2.00118016244558E-13
0,0.9,2.00118016244558E-13
0,1,2.00118016244558E-13
0,1.1,2.00118016244558E-13
0,1.2,2.00118016244961E-13
0,1.3,2.00118016244961E-13
0,1.4,2.00118016244961E-13
0,1.5,2.00118016244961E-13
0,1.6,2.00118016244961E-13
0,1.7,2.00118016244961E-13
0,1.8,2.00118016244961E-13
0,1.9,2.00118016244961E-13
0,2,2.00118016244961E-13
0,2.1,2.00118016244961E-13
0,2.2,2.00118016244961E-13
0,2.3,2.00118016244961E-13
0,2.4,2.00118016244961E-13
0,2.5,2.00118016244961E-13
0,2.6,2.00118016244961E-13
0,2.7,2.00118016244961E-13
0,2.8,2.00118016244961E-13
0,2.9,2.00118016244961E-13
0,3,2.00118016244961E-13
0,3.1,2.00118016244961E-13
0,3.2,2.00118016244961E-13
0,3.3,2.00118016244961E-13
0,3.4,2.00118016244961E-13
0,3.5,2.00118016243346E-13
0,3.6,2.00118016244961E-13
0,3.7,2.00118016243346E-13
0,3.8,2.00118016244961E-13
0,3.9,2.00118016243346E-13
0,4,2.00118016244961E-13
0,4.1,2.00118016244961E-13
0,4.2,2.00118016244961E-13
0,4.3,2.00118016243346E-13
0,4.4,2.00118016244961E-13
0,4.5,2.00118016244961E-13
0,4.6,2.00118016244961E-13
0,4.7,2.0011801624173E-13
0,4.8,2.00118016244961E-13
0,4.9,2.0011801624173E-13
0,5,2.00118016244961E-13
0,5.1,2.00118016244961E-13
0,5.2,2.00118016244961E-13
0,5.3,2.0011801624173E-13
0,5.4,2.00118016244961E-13
0,5.5,2.00118016244961E-13
0,5.6,2.00118016244961E-13
0,5.7,2.0011801624173E-13
0,5.8,2.00118016244961E-13
0,5.9,2.0011801624173E-13
0,6,2.00118016244961E-13
0,6.1,2.00118016244961E-13
0,6.2,2.00118016244961E-13
0,6.3,2.0011801624173E-13
0,6.4,2.00118016244961E-13
0,6.5,2.00118016244961E-13
0,6.6,2.00118016244961E-13
0,6.7,2.00118016244961E-13
0,6.8,2.00118016244961E-13
0,6.9,2.00118016244961E-13
0,7,2.00118016244961E-13
0,7.1,2.00118016244961E-13
0,7.2,2.00118016244961E-13
0,7.3,2.00118016244961E-13
0,7.4,2.00118016244961E-13
0,7.5,2.00118016244961E-13
0,7.6,2.00118016244961E-13
0,7.7,2.0011801624173E-13
0,7.8,2.0011801624173E-13
0,7.9,2.00118016244961E-13
0,8,2.00118016244961E-13
0,8.1,2.00118016244961E-13
0,8.2,2.00118016244961E-13
0,8.3,2.00118016244961E-13
0,8.4,2.00118016244961E-13
0,8.5,2.00118016244961E-13
0,8.6,2.0011801624173E-13
0,8.7,2.00118016244961E-13
0,8.8,2.00118016244961E-13
0,8.9,2.00118016244961E-13
0,9,2.00118016244961E-13
0,9.1,2.00118016244961E-13
0,9.2,2.00118016244961E-13
0,9.3,2.00118016244961E-13
0,9.4,2.00118016248193E-13
0,9.5,2.00118016248193E-13
0,9.6,2.00118016248193E-13
0,9.7,2.0011801624173E-13
0,9.8,2.0011801624173E-13
0,9.9,2.00118016248193E-13
0,10,2.00118016248193E-13
0.5,0,-0.485513608911447
0.5,0.1,11.2557276247495
0.5,0.2,41.2459441666598
0.5,0.3,49.7021510826708
0.5,0.4,49.9938195608535
0.5,0.5,49.999873882667
0.5,0.6,49.9999974273646
0.5,0.7,49.9999999475317
0.5,0.8,49.9999999989397
0.5,0.9,49.9999999999884
0.5,1,50.0000000000098
0.5,1.1,50.0000000000102
0.5,1.2,50.0000000000102
0.5,1.3,50.0000000000102
0.5,1.4,50.0000000000102
0.5,1.5,50.0000000000102
0.5,1.6,50.0000000000102
0.5,1.7,50.0000000000102
0.5,1.8,50.0000000000102
0.5,1.9,50.0000000000102
0.5,2,50.0000000000102
0.5,2.1,50.0000000000102
0.5,2.2,50.0000000000102
0.5,2.3,50.0000000000102
0.5,2.4,50.0000000000102
0.5,2.5,50.0000000000102
0.5,2.6,50.0000000000102
0.5,2.7,50.0000000000102
0.5,2.8,50.0000000000102
0.5,2.9,50.0000000000102
0.5,3,50.0000000000102
0.5,3.1,50.0000000000102
0.5,3.2,50.0000000000102
0.5,3.3,50.0000000000102
0.5,3.4,50.0000000000102
0.5,3.5,50.0000000000102
0.5,3.6,50.0000000000102
0.5,3.7,50.0000000000102
0.5,3.8,50.0000000000102
0.5,3.9,50.0000000000102
0.5,4,50.0000000000102
0.5,4.1,50.0000000000102
0.5,4.2,50.0000000000102
0.5,4.3,50.0000000000102
0.5,4.4,50.0000000000102
0.5,4.5,50.0000000000102
0.5,4.6,50.0000000000102
0.5,4.7,50.0000000000102
0.5,4.8,50.0000000000102
0.5,4.9,50.0000000000102
0.5,5,50.0000000000102
0.5,5.1,50.0000000000102
0.5,5.2,50.0000000000102
0.5,5.3,50.0000000000102
0.5,5.4,50.0000000000102
0.5,5.5,50.0000000000102
0.5,5.6,50.0000000000102
0.5,5.7,50.0000000000102
0.5,5.8,50.0000000000102
0.5,5.9,50.0000000000102
0.5,6,50.0000000000102
0.5,6.1,50.0000000000102
0.5,6.2,50.0000000000102
0.5,6.3,50.0000000000102
0.5,6.4,50.0000000000102
0.5,6.5,50.0000000000102
0.5,6.6,50.0000000000102
0.5,6.7,50.0000000000102
0.5,6.8,50.0000000000102
0.5,6.9,50.0000000000102
0.5,7,50.0000000000102
0.5,7.1,50.0000000000102
0.5,7.2,50.0000000000102
0.5,7.3,50.0000000000102
0.5,7.4,50.0000000000102
0.5,7.5,50.0000000000102
0.5,7.6,50.0000000000102
0.5,7.7,50.0000000000102
0.5,7.8,50.0000000000102
0.5,7.9,50.0000000000102
0.5,8,50.0000000000102
0.5,8.1,50.0000000000102
0.5,8.2,50.0000000000102
0.5,8.3,50.0000000000102
0.5,8.4,50.0000000000102
0.5,8.5,50.0000000000102
0.5,8.6,50.0000000000102
0.5,8.7,50.0000000000102
0.5,8.8,50.0000000000102
0.5,8.9,50.0000000000102
0.5,9,50.0000000000102
0.5,9.1,50.0000000000102
0.5,9.2,50.0000000000102
0.5,9.3,50.0000000000102
0.5,9.4,50.0000000000102
0.5,9.5,50.0000000000102
0.5,9.6,50.0000000000102
0.5,9.7,50.0000000000102
0.5,9.8,50.0000000000102
0.5,9.9,50.0000000000102
0.5,10,50.0000000000102
1,0,-0.952352935533303
1,0.1,17.9751953197735
1,0.2,65.0008611203423
1,0.3,96.4347900808427
1,0.4,99.9137853769567
1,0.5,99.9982340843271
1,0.6,99.9999639746486
1,0.7,99.9999992651395
1,0.8,99.9999999850198
1,0.9,99.9999999997044
1,1,100.000000000004
1,1.1,100.00000000001
1,1.2,100.00000000001
1,1.3,100.00000000001
1,1.4,100.00000000001
1,1.5,100.00000000001
1,1.6,100.00000000001
1,1.7,100.00000000001
1,1.8,100.00000000001
1,1.9,100.00000000001
1,2,100.00000000001
1,2.1,100.00000000001
1,2.2,100.00000000001
1,2.3,100.00000000001
1,2.4,100.00000000001
1,2.5,100.00000000001
1,2.6,100.00000000001
1,2.7,100.00000000001
1,2.8,100.00000000001
1,2.9,100.00000000001
1,3,100.00000000001
1,3.1,100.00000000001
1,3.2,100.00000000001
1,3.3,100.00000000001
1,3.4,100.00000000001
1,3.5,100.00000000001
1,3.6,100.00000000001
1,3.7,100.00000000001
1,3.8,100.00000000001
1,3.9,100.00000000001
1,4,100.00000000001
1,4.1,100.00000000001
1,4.2,100.00000000001
1,4.3,100.00000000001
1,4.4,100.00000000001
1,4.5,100.00000000001
1,4.6,100.00000000001
1,4.7,100.00000000001
1,4.8,100.00000000001
1,4.9,100.00000000001
1,5,100.00000000001
1,5.1,100.00000000001
1,5.2,100.00000000001
1,5.3,100.00000000001
1,5.4,100.00000000001
1,5.5,100.00000000001
1,5.6,100.00000000001
1,5.7,100.00000000001
1,5.8,100.00000000001
1,5.9,100.00000000001
1,6,100.00000000001
1,6.1,100.00000000001
1,6.2,100.00000000001
1,6.3,100.00000000001
1,6.4,100.00000000001
1,6.5,100.00000000001
1,6.6,100.00000000001
1,6.7,100.00000000001
1,6.8,100.00000000001
1,6.9,100.00000000001
1,7,100.00000000001
1,7.1,100.00000000001
1,7.2,100.00000000001
1,7.3,100.00000000001
1,7.4,100.00000000001
1,7.5,100.00000000001
1,7.6,100.00000000001
1,7.7,100.00000000001
1,7.8,100.00000000001
1,7.9,100.00000000001
1,8,100.00000000001
1,8.1,100.00000000001
1,8.2,100.00000000001
1,8.3,100.00000000001
1,8.4,100.00000000001
1,8.5,100.00000000001
1,8.6,100.00000000001
1,8.7,100.00000000001
1,8.8,100.00000000001
1,8.9,100.00000000001
1,9,100.00000000001
1,9.1,100.00000000001
1,9.2,100.00000000001
1,9.3,100.00000000001
1,9.4,100.00000000001
1,9.5,100.00000000001
1,9.6,100.00000000001
1,9.7,100.00000000001
1,9.8,100.00000000001
1,9.9,100.00000000001
1,10,100.00000000001
1.5,0,-1.40112780642246
1.5,0.1,22.7422865457064
1.5,0.2,78.3933876975188
1.5,0.3,131.195326369187
1.5,0.4,149.126150168666
1.5,0.5,149.981467593509
1.5,0.6,149.999621652624
1.5,0.7,149.999992282075
1.5,0.8,149.999999842575
1.5,0.9,149.999999996799
1.5,1,149.999999999945
1.5,1.1,150.000000000009
1.5,1.2,150.00000000001
1.5,1.3,150.00000000001
1.5,1.4,150.00000000001
1.5,1.5,150.00000000001
1.5,1.6,150.00000000001
1.5,1.7,150.00000000001
1.5,1.8,150.00000000001
1.5,1.9,150.00000000001
1.5,2,150.00000000001
1.5,2.1,150.00000000001
1.5,2.2,150.00000000001
1.5,2.3,150.00000000001
1.5,2.4,150.00000000001
1.5,2.5,150.00000000001
1.5,2.6,150.00000000001
1.5,2.7,150.00000000001
1.5,2.8,150.00000000001
1.5,2.9,150.00000000001
1.5,3,150.00000000001
1.5,3.1,150.00000000001
1.5,3.2,150.00000000001
1.5,3.3,150.00000000001
1.5,3.4,150.00000000001
1.5,3.5,150.00000000001
1.5,3.6,150.00000000001
1.5,3.7,150.00000000001
1.5,3.8,150.00000000001
1.5,3.9,150.00000000001
1.5,4,150.00000000001
1.5,4.1,150.00000000001
1.5,4.2,150.00000000001
1.5,4.3,150.00000000001
1.5,4.4,150.00000000001
1.5,4.5,150.00000000001
1.5,4.6,150.00000000001
1.5,4.7,150.00000000001
1.5,4.8,150.00000000001
1.5,4.9,150.00000000001
1.5,5,150.00000000001
1.5,5.1,150.00000000001
1.5,5.2,150.00000000001
1.5,5.3,150.00000000001
1.5,5.4,150.00000000001
1.5,5.5,150.00000000001
1.5,5.6,150.00000000001
1.5,5.7,150.00000000001
1.5,5.8,150.00000000001
1.5,5.9,150.00000000001
1.5,6,150.00000000001
1.5,6.1,150.00000000001
1.5,6.2,150.00000000001
1.5,6.3,150.00000000001
1.5,6.4,150.00000000001
